location_name,Walmart Supercenter,Super Saver,Russ's Market,Hy-Vee,Hy-Vee,Russ's Market,Whole Foods Market,Trader Joe's,Super Saver,Super Saver,Hy-Vee,Walmart Supercenter,Russ's Market,Super Saver,ALDI,Super Saver,Walmart Supercenter,Hy-Vee,Hy-Vee,Walmart Supercenter,Russ's Market,Walmart Supercenter,ALDI,Russ's Market,Russ's Market,Total
31055007513,NA,4,NA,NA,NA,NA,NA,NA,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,16
31059091600,13,NA,4,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,5,NA,NA,4,NA,NA,NA,NA,NA,30
31059091700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,4
31061964700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,4
31067964600,4,NA,4,NA,4,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,5,22,NA,10,NA,4,58,4,5,NA,124
31067964700,14,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,NA,5,NA,NA,13,5,7,NA,82
31067964800,NA,4,NA,NA,4,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,5,NA,NA,7,NA,7,NA,4,NA,37
31067964900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,4,NA,NA,9,NA,NA,NA,20
31067965000,NA,4,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,7,NA,7,NA,NA,NA,30
31067965100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,9,NA,NA,NA,13
31067965200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,5,NA,4,NA,NA,NA,17
