location_name,Hy-Vee,ALDI,ALDI,Hy-Vee,Woodman's Market,Trader Joe's,Pick 'n Save,Woodman's Market,Pick 'n Save,ALDI,ALDI,Pick 'n Save,Woodman's Market,Pick 'n Save,Pick 'n Save,Pick 'n Save,Pick 'n Save,ALDI,Whole Foods Market,Pick 'n Save,Pick 'n Save,Pick 'n Save,Hy-Vee,Pick 'n Save,Pick 'n Save,Total
55105002800,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,8
55045960600,NA,NA,NA,4,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
55025011102,NA,NA,NA,4,NA,4,NA,33,NA,4,NA,NA,NA,NA,120,6,NA,6,4,NA,NA,NA,11,9,NA,201
55025000406,NA,NA,NA,4,NA,NA,NA,23,NA,6,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,4,19,NA,64
55065970100,NA,NA,NA,4,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
12103027322,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
55045960300,NA,NA,NA,4,NA,NA,NA,4,NA,4,NA,NA,4,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,20
26111291200,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
17031811200,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
55025001501,NA,NA,NA,4,9,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,38
55025002800,NA,NA,NA,4,20,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,4,NA,NA,NA,5,NA,NA,NA,39
