year,month,day,region,iso_country_code,total_visits,total_devices_seen,total_home_visits,total_home_visitors
2020,4,5,ga,US,1413637,668860,903526,590618
2020,4,5,gu,US,727,500,603,480
2020,4,5,hi,US,130586,59896,71986,50944
2020,4,5,ia,US,458165,215576,295455,185583
2020,4,5,id,US,150774,80172,98582,68286
2020,4,5,il,US,1412889,708897,891450,602371
2020,4,5,in,US,788123,390090,516793,340392
2020,4,5,ks,US,382455,189114,252395,165729
2020,4,5,ky,US,584334,269795,362802,225060
2020,4,5,la,US,636692,294012,408009,259986
2020,4,5,ma,US,504524,270285,320260,218880
2020,4,5,mb,CA,28012,21074,28012,21074
2020,4,5,md,US,558100,288240,350727,241988
2020,4,5,me,US,96040,50444,67439,44683
2020,4,5,mi,US,991967,530130,687952,468275
2020,4,5,mn,US,575988,295109,376828,251644
2020,4,5,mo,US,828729,397674,527132,345974
2020,4,5,mp,US,203,151,203,151
2020,4,5,ms,US,443608,208247,298828,186837
2020,4,5,mt,US,82776,42028,52980,35591
2020,4,5,nb,CA,9875,7123,9875,7123
2020,4,5,nc,US,1294926,585431,827268,520795
2020,4,5,nd,US,79751,42497,53256,36372
2020,4,5,ne,US,278585,129788,173783,109740
2020,4,5,nh,US,124858,63803,80920,53634
2020,4,5,nj,US,865834,459930,571903,394188
2020,4,5,nl,CA,6960,5120,6960,5120
2020,4,5,nm,US,168308,84319,101388,68247
2020,4,5,ns,CA,12724,9572,12724,9572
2020,4,5,nt,CA,512,394,512,394
2020,4,5,nu,CA,233,174,233,174
2020,4,5,nv,US,288527,144752,168555,121292
2020,4,5,ny,US,1573690,862843,991795,701904
2020,4,5,oh,US,1361879,687477,885013,597987
2020,4,5,ok,US,593468,277115,378062,245046
2020,4,5,on,CA,263409,199813,263409,199813
2020,4,5,or,US,361614,182808,214655,151104
2020,4,5,pa,US,1191022,616814,776410,525175
2020,4,5,pe,CA,2018,1412,2018,1412
2020,4,5,pr,US,145930,112000,138824,109667
2020,4,5,qc,CA,135332,109678,135332,109678
2020,4,5,ri,US,84541,44167,53572,36336
2020,4,5,sc,US,716718,315240,454091,279815
2020,4,5,sd,US,97634,47223,63287,40279
2020,4,5,sk,CA,22949,17812,22949,17812
2020,4,5,tn,US,934080,426663,596525,376802
2020,4,5,tx,US,3689578,1783350,2279043,1552396
2020,4,5,ut,US,273319,151113,176788,127104
2020,4,5,va,US,886684,423021,554833,364321
2020,4,5,vi,US,86,63,0,0
2020,4,5,vt,US,37190,20948,26143,17764
2020,4,5,wa,US,619061,327985,384910,276880
2020,4,5,wi,US,602452,302196,396706,260224
2020,4,5,wv,US,189422,93568,125341,80861
2020,4,5,wy,US,55441,27934,33861,22377
2020,4,5,yt,CA,497,403,497,403
2020,4,6,ALL,"",39518413,17493600,22990153,15124685
2020,4,6,ALL_CA,CA,677539,495338,677539,495338
2020,4,6,ALL_US,US,38840874,16998471,22312614,14629347
2020,4,6,ab,CA,86755,64484,86755,64484
2020,4,6,ak,US,51568,25010,28725,20715
2020,4,6,al,US,1004602,392191,578237,348456
2020,4,6,ar,US,558418,215550,310814,186226
2020,4,6,as,US,28,17,24,15
2020,4,6,az,US,775400,328568,408813,279365
2020,4,6,bc,CA,80970,60225,80970,60225
2020,4,6,ca,US,3048118,1445879,1657986,1215998
2020,4,6,co,US,580519,259842,319790,216447
2020,4,6,ct,US,322273,150301,193261,126246
2020,4,6,dc,US,28698,15800,0,0
2020,4,6,de,US,105362,47810,60740,39601
