Census,Week_Start,Week_End,Positives,Positive_Rate,Confirmed_Cases,Confirmed_Case_Rate,Probable_Cases,Probable_Case_Rate,People_Tested,People_Tested_Rate,All_Test_Results,All_Test_Results_Rate
53033004400,4/15/2020,4/29/2020,1,12.91,1,12.91,0,0,73,942.6,78,1007.16
53033004500,3/31/2020,4/14/2020,2,69.09,2,69.09,0,0,36,1243.67,37,1278.22
53033004500,4/15/2020,4/29/2020,1,34.55,1,34.55,0,0,40,1381.86,40,1381.86
53033004600,3/31/2020,4/14/2020,2,57.2,2,57.2,0,0,55,1573.09,55,1573.09
53033004600,4/15/2020,4/29/2020,0,0,0,0,0,0,46,1315.68,49,1401.48
53033004700,3/31/2020,4/14/2020,9,75.44,9,75.44,0,0,120,1005.91,120,1005.91
53033004700,4/15/2020,4/29/2020,1,8.38,1,8.38,0,0,139,1165.18,150,1257.38
53033004800,3/31/2020,4/14/2020,1,19.24,1,19.24,0,0,71,1366.12,74,1423.85
53033004800,4/15/2020,4/29/2020,0,0,0,0,0,0,55,1058.26,57,1096.75
53033004900,3/31/2020,4/14/2020,3,41.54,3,41.54,0,0,58,803.03,60,830.72
53033004900,4/15/2020,4/29/2020,3,41.54,3,41.54,0,0,121,1675.28,127,1758.35
53033005000,3/31/2020,4/14/2020,2,43.05,2,43.05,0,0,31,667.23,31,667.23
53033005000,4/15/2020,4/29/2020,3,64.57,3,64.57,0,0,92,1980.18,95,2044.75
53033005100,3/31/2020,4/14/2020,3,75.96,3,75.96,0,0,43,1088.78,45,1139.42
53033005100,4/15/2020,4/29/2020,0,0,0,0,0,0,51,1291.34,52,1316.66
53033005200,3/31/2020,4/14/2020,5,62.45,5,62.45,0,0,47,586.99,49,611.96
53033005200,4/15/2020,4/29/2020,1,12.49,1,12.49,0,0,67,836.77,68,849.26
53033005301,3/31/2020,4/14/2020,2,18.77,2,18.77,0,0,44,412.9,47,441.05
53033005301,4/15/2020,4/29/2020,1,9.38,1,9.38,0,0,81,760.11,83,778.88
53033005302,3/31/2020,4/14/2020,0,0,0,0,0,0,18,216.03,19,228.04
53033005302,4/15/2020,4/29/2020,0,0,0,0,0,0,8,96.01,8,96.01
53033005400,3/31/2020,4/14/2020,0,0,0,0,0,0,86,1127.17,87,1140.28
53033005400,4/15/2020,4/29/2020,3,39.32,3,39.32,0,0,111,1454.84,119,1559.69
53033005600,3/31/2020,4/14/2020,0,0,0,0,0,0,42,609.08,45,652.58
53033005600,4/15/2020,4/29/2020,0,0,0,0,0,0,68,986.13,72,1044.13
53033005700,3/31/2020,4/14/2020,0,0,0,0,0,0,57,870.37,59,900.91
53033005700,4/15/2020,4/29/2020,0,0,0,0,0,0,58,885.64,60,916.17
53033005801,3/31/2020,4/14/2020,4,70.88,4,70.88,0,0,52,921.45,58,1027.77
53033005801,4/15/2020,4/29/2020,1,17.72,1,17.72,0,0,71,1258.13,74,1311.29
53033005802,3/31/2020,4/14/2020,1,15.06,1,15.06,0,0,63,949.02,64,964.09
53033005802,4/15/2020,4/29/2020,0,0,0,0,0,0,75,1129.79,78,1174.98
53033005900,3/31/2020,4/14/2020,1,13.73,1,13.73,0,0,59,809.92,61,837.38
53033005900,4/15/2020,4/29/2020,0,0,0,0,0,0,71,974.65,71,974.65
53033006000,3/31/2020,4/14/2020,3,49.09,3,49.09,0,0,52,850.88,54,883.61
53033006000,4/15/2020,4/29/2020,6,98.18,6,98.18,0,0,134,2192.66,145,2372.65
53033006100,3/31/2020,4/14/2020,2,34.62,2,34.62,0,0,57,986.72,59,1021.34
53033006100,4/15/2020,4/29/2020,1,17.31,1,17.31,0,0,78,1350.24,81,1402.17
53033006200,3/31/2020,4/14/2020,0,0,0,0,0,0,36,862.54,37,886.5
53033006200,4/15/2020,4/29/2020,2,47.92,2,47.92,0,0,57,1365.7,60,1437.57
53033006300,3/31/2020,4/14/2020,4,73.95,4,73.95,0,0,54,998.27,57,1053.73
53033006300,4/15/2020,4/29/2020,2,36.97,2,36.97,0,0,75,1386.48,83,1534.37
53033006400,3/31/2020,4/14/2020,0,0,0,0,0,0,33,962.74,34,991.92
53033006400,4/15/2020,4/29/2020,0,0,0,0,0,0,37,1079.44,39,1137.79
53033006500,3/31/2020,4/14/2020,1,20.46,1,20.46,0,0,56,1145.48,58,1186.39
