tract,Russ's Market,Russ's Market,Russ's Market,Russ's Market,Russ's Market,Russ's Market,Hy-Vee,Hy-Vee,Hy-Vee,Hy-Vee,Hy-Vee,Super Saver,Super Saver,Super Saver,Super Saver,Super Saver,Total
31109002701,NA,NA,NA,14,NA,NA,NA,7,NA,NA,8,NA,4,4,NA,17,54
31109003609,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,15
31109003708,NA,NA,NA,10,NA,NA,16,4,NA,NA,NA,NA,NA,9,NA,5,44
31155968300,NA,NA,NA,4,NA,NA,NA,NA,NA,5,4,NA,NA,NA,5,NA,18
31019969100,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
45015020807,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
41039001804,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
31059091600,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,8
31127968200,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
31131966700,NA,NA,NA,4,NA,NA,NA,9,NA,NA,4,4,NA,NA,NA,6,27
31153010621,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,4,16
31109000700,NA,NA,NA,4,NA,NA,NA,4,NA,4,9,4,9,NA,NA,NA,34
31055007452,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
31035962200,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
31131966600,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
31079001300,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
31109002001,NA,NA,NA,NA,12,NA,NA,NA,NA,4,5,4,8,NA,NA,NA,33
31131966900,NA,NA,NA,NA,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,8
31109003607,NA,NA,NA,NA,4,NA,21,4,NA,NA,4,4,NA,15,NA,NA,52
31109001800,NA,NA,NA,NA,4,NA,NA,NA,NA,4,NA,4,16,NA,NA,NA,28
31107976200,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,12
31023967700,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,10
31055007001,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
31109003103,NA,NA,NA,NA,NA,4,NA,NA,4,4,NA,16,8,NA,9,NA,45
31119960801,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
31109003608,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,4,NA,NA,9
19149970500,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
